Id: 1, Nombre: Ana, Antiguedad: 3
Id: 2, Nombre: Luis, Antiguedad: 2
Id: 3, Nombre: Carlos, Antiguedad: 5
Id: 4, Nombre: Marta, Antiguedad: 0
Id: 5, Nombre: Carla, Antiguedad: 1
Id: 6, Nombre: Juan, Antiguedad: 4
Id: 7, Nombre: Carmen, Antiguedad: 2
Id: 8, Nombre: Pedro, Antiguedad: 5
Id: 9, Nombre: Lucas, Antiguedad: 3
Id: 10, Nombre: Elena, Antiguedad: 0
Id: 11, Nombre: Pablo, Antiguedad: 4
Id: 12, Nombre: Clara, Antiguedad: 1
Id: 13, Nombre: Javier, Antiguedad: 5
Id: 14, Nombre: Beatriz, Antiguedad: 2
Id: 15, Nombre: Miguel, Antiguedad: 1
Id: 16, Nombre: Laura, Antiguedad: 0
Id: 17, Nombre: David, Antiguedad: 3
Id: 18, Nombre: Olga, Antiguedad: 4
Id: 19, Nombre: Alberto, Antiguedad: 1
Id: 20, Nombre: Gabriela, Antiguedad: 2
